species_slug,BL,WL,under_sampled,red_list,cert_list,lists
quercus-robur,0,0,0,1,1,['red_list' 'cert_list']
radiola-linoides,0,0,0,1,0,['red_list']
ranunculus-aconitifolius,0,0,0,1,1,['red_list' 'cert_list']
ranunculus-acris,0,0,0,3,1,['red_list' 'cert_list']
ranunculus-alpestris,0,0,0,1,1,['red_list' 'cert_list']
ranunculus-aquatilis,0,0,0,1,0,['red_list']
ranunculus-arvensis,0,0,0,1,0,['red_list']
ranunculus-auricomus,0,0,0,1,0,['red_list']
ranunculus-breyninus,0,0,1,1,0,['under_sampled' 'red_list']
ranunculus-bulbosus,0,0,0,1,1,['red_list' 'cert_list']
ranunculus-carinthiacus,0,0,0,1,0,['red_list']
ranunculus-circinatus,0,0,0,1,0,['red_list']
ranunculus-ficaria,0,0,0,1,1,['red_list' 'cert_list']
ranunculus-flammula,0,0,0,1,0,['red_list']
ranunculus-fluitans,0,0,0,1,0,['red_list']
ranunculus-glacialis,0,0,0,1,1,['red_list' 'cert_list']
ranunculus-gramineus,0,0,0,1,0,['red_list']
ranunculus-kuepferi,0,0,0,1,1,['red_list' 'cert_list']
ranunculus-lanuginosus,0,0,0,1,0,['red_list']
ranunculus-lingua,0,0,0,1,0,['red_list']
ranunculus-montanus,0,0,0,2,1,['red_list' 'cert_list']
ranunculus-parnassiifolius,0,0,0,1,0,['red_list']
ranunculus-peltatus,0,0,0,1,0,['red_list']
ranunculus-penicillatus,0,0,0,1,0,['red_list']
ranunculus-platanifolius,0,0,0,1,1,['red_list' 'cert_list']
ranunculus-polyanthemophyllus,0,0,1,1,0,['under_sampled' 'red_list']
ranunculus-pygmaeus,0,0,0,1,0,['red_list']
ranunculus-repens,0,0,0,1,1,['red_list' 'cert_list']
ranunculus-reptans,0,0,0,1,0,['red_list']
ranunculus-rionii,0,0,0,1,0,['red_list']
ranunculus-sardous,0,0,0,1,0,['red_list']
ranunculus-sceleratus,0,0,0,1,0,['red_list']
ranunculus-seguieri,0,0,0,1,0,['red_list']
ranunculus-serpens,0,0,1,1,0,['under_sampled' 'red_list']
ranunculus-thora,0,0,0,1,0,['red_list']
ranunculus-trichophyllus,0,0,0,3,0,['red_list']
ranunculus-tuberosus,0,0,0,2,0,['red_list']
ranunculus-villarsii,0,0,0,1,0,['red_list']
raphanus-raphanistrum,0,0,0,1,0,['red_list']
reseda-lutea,0,0,0,1,0,['red_list']
reseda-luteola,0,0,0,1,0,['red_list']
reseda-phyteuma,0,0,0,1,0,['red_list']
reynoutria-japonica,1,0,0,0,1,['BL' 'cert_list']
reynoutria-sachalinensis,1,0,0,0,0,['BL']
reynoutria-×bohemica,1,0,0,0,0,['BL']
rhamnus-alpina,0,0,0,1,0,['red_list']
rhamnus-cathartica,0,0,0,1,1,['red_list' 'cert_list']
rhamnus-pumila,0,0,0,1,0,['red_list']
rhamnus-saxatilis,0,0,0,1,0,['red_list']
rhinanthus-alectorolophus,0,0,0,1,1,['red_list' 'cert_list']
rhinanthus-angustifolius,0,0,0,1,0,['red_list']
rhinanthus-antiquus,0,0,0,1,0,['red_list']
rhinanthus-glacialis,0,0,0,1,0,['red_list']
rhinanthus-minor,0,0,0,1,1,['red_list' 'cert_list']
rhodiola-rosea,0,0,0,1,0,['red_list']
rhododendron-ferrugineum,0,0,0,1,1,['red_list' 'cert_list']
rhododendron-hirsutum,0,0,0,1,1,['red_list' 'cert_list']
rhus-typhina,1,0,0,0,0,['BL']
rhynchospora-alba,0,0,0,1,0,['red_list']
rhynchospora-fusca,0,0,0,1,0,['red_list']
ribes-alpinum,0,0,0,1,0,['red_list']
ribes-petraeum,0,0,0,1,0,['red_list']
ribes-uva-crispa,0,0,0,1,0,['red_list']
robinia-pseudoacacia,1,0,0,0,1,['BL' 'cert_list']
rorippa-amphibia,0,0,0,1,0,['red_list']
rorippa-islandica,0,0,0,2,0,['red_list']
rorippa-palustris,0,0,0,1,0,['red_list']
rorippa-stylosa,0,0,0,1,0,['red_list']
rorippa-sylvestris,0,0,0,1,0,['red_list']
rosa-abietina,0,0,1,1,0,['under_sampled' 'red_list']
rosa-agrestis,0,0,1,1,0,['under_sampled' 'red_list']
rosa-arvensis,0,0,0,1,0,['red_list']
rosa-caesia,0,0,0,1,0,['red_list']
rosa-canina,0,0,0,2,1,['red_list' 'cert_list']
rosa-chavinii,0,0,0,1,0,['red_list']
rosa-corymbifera,0,0,0,1,0,['red_list']
rosa-dumalis,0,0,0,1,0,['red_list']
rosa-elliptica,0,0,0,1,0,['red_list']
rosa-gallica,0,0,0,1,0,['red_list']
rosa-glauca,0,0,0,1,0,['red_list']
rosa-gremlii,0,0,0,1,0,['red_list']
rosa-inodora,0,0,0,1,0,['red_list']
rosa-jundzillii,0,0,0,1,0,['red_list']
rosa-majalis,0,0,0,1,0,['red_list']
rosa-micrantha,0,0,0,1,0,['red_list']
rosa-mollis,0,0,0,1,0,['red_list']
rosa-montana,0,0,0,1,0,['red_list']
rosa-pendulina,0,0,0,1,1,['red_list' 'cert_list']
rosa-pseudoscabriuscula,0,0,0,1,0,['red_list']
rosa-rhaetica,0,0,0,1,0,['red_list']
rosa-rubiginosa,0,0,0,2,0,['red_list']
rosa-sherardii,0,0,0,1,0,['red_list']
rosa-spinosissima,0,0,0,1,0,['red_list']
rosa-stylosa,0,0,0,1,0,['red_list']
rosa-subcanina,0,0,0,1,0,['red_list']
rosa-subcollina,0,0,0,1,0,['red_list']
rosa-tomentella,0,0,1,1,0,['under_sampled' 'red_list']
rosa-tomentosa,0,0,0,2,0,['red_list']
rosa-uriensis,0,0,0,1,0,['red_list']
rosa-villosa,0,0,1,1,0,['under_sampled' 'red_list']
rostraria-cristata,0,0,0,1,0,['red_list']
rubia-tinctorum,0,0,0,1,0,['red_list']
rubus-armeniacus,1,0,0,0,0,['BL']
rubus-bifrons,0,0,0,1,0,['red_list']
rubus-caesius,0,0,0,1,1,['red_list' 'cert_list']
rubus-canescens,0,0,0,1,0,['red_list']
rubus-distractus,0,0,0,1,0,['red_list']
rubus-foliosus,0,0,0,1,0,['red_list']
rubus-fruticosus,0,0,0,1,0,['red_list']
rubus-hirtus,0,0,0,1,0,['red_list']
rubus-idaeus,0,0,0,1,1,['red_list' 'cert_list']
rubus-macrophyllus,0,0,0,1,0,['red_list']
rubus-mercieri,0,0,0,1,0,['red_list']
rubus-montanus,0,0,0,1,0,['red_list']
rubus-nessensis,0,0,0,1,0,['red_list']
rubus-obtusangulus,0,0,0,1,0,['red_list']
rubus-pedemontanus,0,0,0,1,0,['red_list']
rubus-praecox,0,0,0,1,0,['red_list']
rubus-radula,0,0,0,1,0,['red_list']
rubus-rudis,0,0,0,1,0,['red_list']
rubus-saxatilis,0,0,0,1,0,['red_list']
rubus-sulcatus,0,0,0,1,0,['red_list']
rubus-tereticaulis,0,0,0,1,0,['red_list']
rubus-ulmifolius,0,0,0,1,0,['red_list']
rubus-vestitus,0,0,0,1,0,['red_list']
rumex-acetosa,0,0,0,1,1,['red_list' 'cert_list']
rumex-acetosella,0,0,0,3,0,['red_list']
rumex-alpestris,0,0,0,1,0,['red_list']
rumex-alpinus,0,0,0,1,1,['red_list' 'cert_list']
rumex-aquaticus,0,0,0,1,0,['red_list']
rumex-conglomeratus,0,0,0,1,0,['red_list']
rumex-crispus,0,0,0,1,0,['red_list']
rumex-hydrolapathum,0,0,0,1,0,['red_list']
rumex-maritimus,0,0,0,1,0,['red_list']
rumex-nivalis,0,0,0,1,0,['red_list']
rumex-obtusifolius,0,0,0,1,1,['red_list' 'cert_list']
rumex-pulcher,0,0,1,1,0,['under_sampled' 'red_list']
rumex-sanguineus,0,0,0,1,0,['red_list']
rumex-scutatus,0,0,0,1,1,['red_list' 'cert_list']
rumex-thyrsiflorus,0,0,0,1,0,['red_list']
ruscus-aculeatus,0,0,0,1,0,['red_list']
ruta-graveolens,0,0,0,1,0,['red_list']
sagina-apetala,0,0,0,3,0,['red_list']
sagina-glabra,0,0,0,1,0,['red_list']
sagina-nodosa,0,0,0,1,0,['red_list']
sagina-procumbens,0,0,0,1,0,['red_list']
sagina-saginoides,0,0,0,1,0,['red_list']
sagina-subulata,0,0,0,1,0,['red_list']
sagittaria-latifolia,0,1,0,0,0,['WL']
sagittaria-sagittifolia,0,0,0,1,0,['red_list']
salix-alba,0,0,0,1,1,['red_list' 'cert_list']
salix-alpina,0,0,1,1,0,['under_sampled' 'red_list']
salix-apennina,0,0,0,1,0,['red_list']
salix-appendiculata,0,0,0,1,1,['red_list' 'cert_list']
salix-aurita,0,0,0,1,0,['red_list']
salix-bicolor,0,0,0,1,0,['red_list']
salix-breviserrata,0,0,0,1,0,['red_list']
salix-caesia,0,0,1,1,0,['under_sampled' 'red_list']
salix-caprea,0,0,0,1,1,['red_list' 'cert_list']
salix-cinerea,0,0,0,1,0,['red_list']
salix-daphnoides,0,0,0,1,0,['red_list']
salix-elaeagnos,0,0,0,1,1,['red_list' 'cert_list']
salix-foetida,0,0,0,1,0,['red_list']
salix-glabra,0,0,0,1,0,['red_list']
salix-glaucosericea,0,0,0,1,0,['red_list']
salix-hastata,0,0,0,1,0,['red_list']
salix-helvetica,0,0,0,1,1,['red_list' 'cert_list']
salix-herbacea,0,0,0,1,1,['red_list' 'cert_list']
salix-laggeri,0,0,0,1,0,['red_list']
salix-myrsinifolia,0,0,0,1,0,['red_list']
salix-myrtilloides,0,0,0,1,0,['red_list']
salix-pentandra,0,0,0,1,0,['red_list']
salix-purpurea,0,0,0,1,1,['red_list' 'cert_list']
salix-repens,0,0,0,1,0,['red_list']
salix-reticulata,0,0,0,1,1,['red_list' 'cert_list']
salix-retusa,0,0,0,1,1,['red_list' 'cert_list']
salix-rosmarinifolia,0,0,0,1,0,['red_list']
salix-serpillifolia,0,0,0,1,0,['red_list']
salix-triandra,0,0,0,1,0,['red_list']
salix-viminalis,0,0,0,1,0,['red_list']
salix-waldsteiniana,0,0,1,1,0,['under_sampled' 'red_list']
salix-×hegetschweileri,0,0,0,1,0,['red_list']
salvia-glutinosa,0,0,0,1,1,['red_list' 'cert_list']
salvia-pratensis,0,0,0,1,1,['red_list' 'cert_list']
sambucus-ebulus,0,0,0,1,0,['red_list']
sambucus-nigra,0,0,0,1,1,['red_list' 'cert_list']
sambucus-racemosa,0,0,0,1,1,['red_list' 'cert_list']
samolus-valerandi,0,0,0,1,0,['red_list']
sanguisorba-minor,0,0,0,3,1,['red_list' 'cert_list']
sanguisorba-officinalis,0,0,0,1,0,['red_list']
sanicula-europaea,0,0,0,1,1,['red_list' 'cert_list']
saponaria-lutea,0,0,0,1,0,['red_list']
saponaria-ocymoides,0,0,0,1,1,['red_list' 'cert_list']
saponaria-officinalis,0,0,0,1,1,['red_list' 'cert_list']
saussurea-alpina,0,0,1,3,0,['under_sampled' 'red_list']
saussurea-discolor,0,0,0,1,0,['red_list']
saxifraga-adscendens,0,0,0,1,0,['red_list']
saxifraga-aizoides,0,0,0,1,1,['red_list' 'cert_list']
saxifraga-androsacea,0,0,0,1,1,['red_list' 'cert_list']
saxifraga-aphylla,0,0,0,1,0,['red_list']
saxifraga-aspera,0,0,0,1,0,['red_list']
saxifraga-biflora,0,0,0,1,0,['red_list']
saxifraga-bryoides,0,0,0,1,1,['red_list' 'cert_list']
saxifraga-bulbifera,0,0,0,1,0,['red_list']
saxifraga-caesia,0,0,0,1,1,['red_list' 'cert_list']
saxifraga-cernua,0,0,0,1,0,['red_list']
saxifraga-cotyledon,0,0,0,1,0,['red_list']
saxifraga-cuneifolia,0,0,0,1,0,['red_list']
saxifraga-diapensioides,0,0,0,1,0,['red_list']
saxifraga-exarata,0,0,0,4,0,['red_list']
saxifraga-granulata,0,0,0,1,0,['red_list']
saxifraga-hirculus,0,0,0,1,0,['red_list']
saxifraga-hostii,0,0,0,1,0,['red_list']
saxifraga-muscoides,0,0,0,1,0,['red_list']
saxifraga-mutata,0,0,0,1,0,['red_list']
saxifraga-oppositifolia,0,0,0,3,1,['red_list' 'cert_list']
saxifraga-paniculata,0,0,0,1,1,['red_list' 'cert_list']
saxifraga-retusa,0,0,0,1,0,['red_list']
saxifraga-rotundifolia,0,0,0,1,1,['red_list' 'cert_list']
saxifraga-seguieri,0,0,0,1,0,['red_list']
saxifraga-stellaris,0,0,0,1,1,['red_list' 'cert_list']
saxifraga-tridactylites,0,0,0,1,0,['red_list']
scabiosa-columbaria,0,0,0,3,1,['red_list' 'cert_list']
scabiosa-lucida,0,0,0,1,0,['red_list']
scabiosa-triandra,0,0,0,1,0,['red_list']
scandix-pecten-veneris,0,0,0,1,0,['red_list']
scheuchzeria-palustris,0,0,0,1,0,['red_list']
schoenoplectus-lacustris,0,0,0,1,0,['red_list']
schoenoplectus-mucronatus,0,0,0,1,0,['red_list']
schoenoplectus-pungens,0,0,1,1,0,['under_sampled' 'red_list']
schoenoplectus-supinus,0,0,0,1,0,['red_list']
schoenoplectus-tabernaemontani,0,0,0,1,0,['red_list']
schoenoplectus-triqueter,0,0,1,1,0,['under_sampled' 'red_list']
schoenus-ferrugineus,0,0,0,1,0,['red_list']
schoenus-nigricans,0,0,0,1,1,['red_list' 'cert_list']
scilla-bifolia,0,0,0,1,0,['red_list']
scirpoides-holoschoenus,0,0,0,1,0,['red_list']
scirpus-sylvaticus,0,0,0,1,1,['red_list' 'cert_list']
scleranthus-annuus,0,0,2,4,0,['under_sampled' 'red_list']
scleranthus-perennis,0,0,0,1,0,['red_list']
sclerochloa-dura,0,0,0,1,0,['red_list']
scorzonera-austriaca,0,0,0,1,0,['red_list']
scorzonera-humilis,0,0,0,1,0,['red_list']
scorzonera-laciniata,0,0,0,1,0,['red_list']
scrophularia-auriculata,0,0,0,1,0,['red_list']
scrophularia-canina,0,0,0,1,0,['red_list']
scrophularia-juratensis,0,0,0,1,0,['red_list']
scrophularia-nodosa,0,0,0,1,0,['red_list']
scrophularia-umbrosa,0,0,0,1,0,['red_list']
scutellaria-alpina,0,0,0,1,0,['red_list']
scutellaria-galericulata,0,0,0,1,0,['red_list']
securigera-varia,0,0,0,1,1,['red_list' 'cert_list']
sedum-acre,0,0,0,1,1,['red_list' 'cert_list']
sedum-album,0,0,0,1,1,['red_list' 'cert_list']
sedum-alpestre,0,0,0,1,0,['red_list']
sedum-anacampseros,0,0,0,1,0,['red_list']
sedum-annuum,0,0,0,1,0,['red_list']
sedum-atratum,0,0,0,1,1,['red_list' 'cert_list']
sedum-cepaea,0,0,0,1,0,['red_list']
sedum-dasyphyllum,0,0,0,1,0,['red_list']
sedum-hispanicum,0,0,0,1,0,['red_list']
sedum-montanum,0,0,0,1,0,['red_list']
sedum-rubens,0,0,0,1,0,['red_list']
sedum-rupestre,0,0,0,2,0,['red_list']
sedum-sexangulare,0,0,0,1,1,['red_list' 'cert_list']
sedum-spurium,0,1,0,0,0,['WL']
sedum-stoloniferum,0,1,0,0,0,['WL']
sedum-telephium,0,0,0,4,0,['red_list']
sedum-villosum,0,0,0,1,0,['red_list']
selaginella-helvetica,0,0,0,1,0,['red_list']
selaginella-selaginoides,0,0,0,1,1,['red_list' 'cert_list']
selinum-carvifolia,0,0,0,1,0,['red_list']
sempervivum-arachnoideum,0,0,0,1,1,['red_list' 'cert_list']
sempervivum-grandiflorum,0,0,0,1,0,['red_list']
sempervivum-montanum,0,0,0,1,1,['red_list' 'cert_list']
sempervivum-tectorum,0,0,0,1,0,['red_list']
sempervivum-wulfenii,0,0,0,1,0,['red_list']
senecio-abrotanifolius,0,0,0,1,0,['red_list']
senecio-alpinus,0,0,0,1,1,['red_list' 'cert_list']
senecio-aquaticus,0,0,0,1,0,['red_list']
senecio-doronicum,0,0,0,1,1,['red_list' 'cert_list']
senecio-erraticus,0,0,0,1,0,['red_list']
senecio-erucifolius,0,0,0,1,0,['red_list']
senecio-halleri,0,0,0,1,0,['red_list']
senecio-hercynicus,0,0,0,1,0,['red_list']
senecio-inaequidens,1,0,0,0,0,['BL']
senecio-incanus,0,0,0,4,1,['red_list' 'cert_list']
senecio-jacobaea,0,0,0,1,0,['red_list']
senecio-ovatus,0,0,0,1,0,['red_list']
senecio-paludosus,0,0,0,1,0,['red_list']
senecio-rupestris,0,0,0,1,0,['red_list']
senecio-sylvaticus,0,0,0,1,0,['red_list']
senecio-viscosus,0,0,0,1,0,['red_list']
senecio-vulgaris,0,0,0,1,1,['red_list' 'cert_list']
serapias-vomeracea,0,0,0,1,0,['red_list']
serratula-tinctoria,0,0,0,3,0,['red_list']
seseli-annuum,0,0,0,1,0,['red_list']
seseli-libanotis,0,0,0,1,0,['red_list']
seseli-montanum,0,0,0,1,0,['red_list']
sesleria-caerulea,0,0,0,1,1,['red_list' 'cert_list']
sesleria-sphaerocephala,0,0,0,1,0,['red_list']
setaria-pumila,0,0,0,1,0,['red_list']
setaria-verticillata,0,0,0,1,0,['red_list']
setaria-verticilliformis,0,0,0,1,0,['red_list']
setaria-viridis,0,0,0,1,0,['red_list']
sherardia-arvensis,0,0,0,1,0,['red_list']
sibbaldia-procumbens,0,0,0,1,1,['red_list' 'cert_list']
sicyos-angulatus,1,0,0,0,0,['BL']
sideritis-hyssopifolia,0,0,0,1,0,['red_list']
sideritis-montana,0,0,0,1,0,['red_list']
silaum-silaus,0,0,0,1,0,['red_list']
silene-acaulis,0,0,0,1,1,['red_list' 'cert_list']
silene-armeria,0,0,0,1,0,['red_list']
silene-coronaria,0,0,0,1,0,['red_list']
silene-cretica,0,0,0,1,0,['red_list']
silene-dioica,0,0,0,1,1,['red_list' 'cert_list']
silene-exscapa,0,0,0,1,0,['red_list']
silene-flos-cuculi,0,0,0,1,1,['red_list' 'cert_list']
silene-flos-jovis,0,0,0,1,0,['red_list']
silene-gallica,0,0,0,1,0,['red_list']
silene-italica,0,0,0,1,0,['red_list']
silene-noctiflora,0,0,0,1,0,['red_list']
silene-nutans,0,0,0,3,1,['red_list' 'cert_list']
silene-otites,0,0,0,1,0,['red_list']
silene-pratensis,0,0,0,1,1,['red_list' 'cert_list']
silene-pusilla,0,0,0,1,0,['red_list']
silene-rupestris,0,0,0,1,1,['red_list' 'cert_list']
silene-saxifraga,0,0,0,1,0,['red_list']
silene-suecica,0,0,0,1,0,['red_list']
silene-vallesia,0,0,0,1,0,['red_list']
silene-viscaria,0,0,0,1,0,['red_list']
silene-vulgaris,0,0,0,4,1,['red_list' 'cert_list']
sinapis-alba,0,0,0,1,0,['red_list']
sinapis-arvensis,0,0,0,1,1,['red_list' 'cert_list']
sison-amomum,0,0,0,1,0,['red_list']
sisymbrium-austriacum,0,0,0,1,0,['red_list']
sisymbrium-officinale,0,0,0,1,0,['red_list']
sisymbrium-strictissimum,0,0,0,1,0,['red_list']
sisymbrium-supinum,0,0,0,1,0,['red_list']
sium-latifolium,0,0,0,1,0,['red_list']
solanum-carolinense,1,0,0,0,0,['BL']
solanum-dulcamara,0,0,0,1,1,['red_list' 'cert_list']
solanum-nigrum,0,0,0,1,0,['red_list']
solanum-villosum,0,0,0,3,0,['red_list']
soldanella-alpina,0,0,0,1,1,['red_list' 'cert_list']
soldanella-pusilla,0,0,0,1,1,['red_list' 'cert_list']
solidago-canadensis,1,0,0,0,1,['BL' 'cert_list']
solidago-gigantea,1,0,0,0,1,['BL' 'cert_list']
solidago-nemoralis,1,0,0,0,0,['BL']
solidago-virgaurea,0,0,0,3,1,['red_list' 'cert_list']
sonchus-arvensis,0,0,1,3,0,['under_sampled' 'red_list']
sonchus-asper,0,0,0,1,0,['red_list']
sonchus-oleraceus,0,0,0,1,1,['red_list' 'cert_list']
sonchus-palustris,0,0,0,1,0,['red_list']
sorbus-aria,0,0,0,1,1,['red_list' 'cert_list']
sorbus-aucuparia,0,0,0,3,1,['red_list' 'cert_list']
sorbus-chamaemespilus,0,0,0,1,0,['red_list']
sorbus-domestica,0,0,0,1,0,['red_list']
sorbus-latifolia,0,0,0,1,0,['red_list']
sorbus-mougeotii,0,0,0,1,0,['red_list']
sorbus-torminalis,0,0,0,1,1,['red_list' 'cert_list']
sparganium-angustifolium,0,0,0,1,0,['red_list']
sparganium-emersum,0,0,0,1,0,['red_list']
sparganium-erectum,0,0,0,5,0,['red_list']
sparganium-natans,0,0,0,1,0,['red_list']
spergula-arvensis,0,0,0,1,0,['red_list']
spergularia-rubra,0,0,0,1,1,['red_list' 'cert_list']
spergularia-segetalis,0,0,0,1,0,['red_list']
spiranthes-aestivalis,0,0,0,1,0,['red_list']
spiranthes-spiralis,0,0,0,1,0,['red_list']
spirodela-polyrhiza,0,0,0,1,0,['red_list']
stachys-alopecuros,0,0,0,1,0,['red_list']
stachys-alpina,0,0,0,1,0,['red_list']
stachys-annua,0,0,0,1,0,['red_list']
stachys-arvensis,0,0,0,1,0,['red_list']
stachys-germanica,0,0,0,1,0,['red_list']
stachys-officinalis,0,0,0,1,0,['red_list']
stachys-palustris,0,0,0,1,0,['red_list']
stachys-pradica,0,0,0,1,0,['red_list']
stachys-recta,0,0,1,3,1,['under_sampled' 'red_list' 'cert_list']
stachys-sylvatica,0,0,0,1,1,['red_list' 'cert_list']
staphylea-pinnata,0,0,0,1,0,['red_list']
stellaria-alsine,0,0,0,1,0,['red_list']
stellaria-graminea,0,0,0,1,0,['red_list']
stellaria-holostea,0,0,0,1,0,['red_list']
stellaria-longifolia,0,0,0,1,0,['red_list']
stellaria-media,0,0,0,2,1,['red_list' 'cert_list']
stellaria-neglecta,0,0,0,1,0,['red_list']
stellaria-nemorum,0,0,2,3,1,['under_sampled' 'red_list' 'cert_list']
stellaria-pallida,0,0,0,1,0,['red_list']
stellaria-palustris,0,0,0,1,0,['red_list']
stemmacantha-rhapontica,0,0,0,3,0,['red_list']
stipa-capillata,0,0,0,1,0,['red_list']
stipa-eriocaulis,0,0,0,1,0,['red_list']
stipa-pennata,0,0,0,2,1,['red_list' 'cert_list']
streptopus-amplexifolius,0,0,0,1,0,['red_list']
subularia-aquatica,0,0,0,1,0,['red_list']
succisa-pratensis,0,0,0,1,0,['red_list']
swertia-perennis,0,0,0,1,0,['red_list']
symphoricarpos-albus,0,1,0,0,0,['WL']
symphytum-bulbosum,0,0,0,1,0,['red_list']
symphytum-officinale,0,0,0,1,1,['red_list' 'cert_list']
symphytum-tuberosum,0,0,0,1,0,['red_list']
tamus-communis,0,0,0,1,0,['red_list']
tanacetum-corymbosum,0,0,0,1,0,['red_list']
tanacetum-vulgare,0,0,0,1,0,['red_list']
taraxacum-alpestre,0,0,0,1,0,['red_list']
taraxacum-alpinum,0,0,1,1,0,['under_sampled' 'red_list']
taraxacum-aquilonare,0,0,1,1,0,['under_sampled' 'red_list']
taraxacum-ceratophorum,0,0,0,1,0,['red_list']
taraxacum-cucullatum,0,0,1,1,0,['under_sampled' 'red_list']
taraxacum-dissectum,0,0,0,1,0,['red_list']
taraxacum-fontanum,0,0,1,1,0,['under_sampled' 'red_list']
taraxacum-laevigatum,0,0,0,1,0,['red_list']
taraxacum-officinale,0,0,0,1,1,['red_list' 'cert_list']
taraxacum-pacheri,0,0,0,1,0,['red_list']
taraxacum-palustre,0,0,0,1,0,['red_list']
taraxacum-schroeterianum,0,0,1,1,0,['under_sampled' 'red_list']
taxus-baccata,0,0,0,1,1,['red_list' 'cert_list']
teesdalia-nudicaulis,0,0,0,1,0,['red_list']
telephium-imperati,0,0,0,1,0,['red_list']
tephroseris-capitata,0,0,0,1,0,['red_list']
tephroseris-helenitis,0,0,0,1,0,['red_list']
tephroseris-integrifolia,0,0,0,1,0,['red_list']
tephroseris-tenuifolia,0,0,0,1,0,['red_list']
teucrium-botrys,0,0,0,1,0,['red_list']
teucrium-chamaedrys,0,0,0,1,1,['red_list' 'cert_list']
teucrium-montanum,0,0,0,1,1,['red_list' 'cert_list']
teucrium-scordium,0,0,0,1,0,['red_list']
teucrium-scorodonia,0,0,0,1,0,['red_list']
thalictrum-alpinum,0,0,0,1,0,['red_list']
thalictrum-aquilegiifolium,0,0,0,1,1,['red_list' 'cert_list']
thalictrum-flavum,0,0,0,1,0,['red_list']
thalictrum-foetidum,0,0,0,1,0,['red_list']
thalictrum-lucidum,0,0,0,1,0,['red_list']
thalictrum-minus,0,0,0,3,0,['red_list']
thalictrum-simplex,0,0,1,3,0,['under_sampled' 'red_list']
thelypteris-palustris,0,0,0,1,0,['red_list']
thesium-alpinum,0,0,0,1,1,['red_list' 'cert_list']
thesium-bavarum,0,0,0,1,0,['red_list']
thesium-humifusum,0,0,0,1,0,['red_list']
thesium-linophyllon,0,0,0,1,0,['red_list']
thesium-pyrenaicum,0,0,0,1,0,['red_list']
thesium-rostratum,0,0,0,1,0,['red_list']
thlaspi-alpestre,0,0,0,1,0,['red_list']
thlaspi-arvense,0,0,0,1,1,['red_list' 'cert_list']
thlaspi-brachypetalum,0,0,0,1,0,['red_list']
thlaspi-caerulescens,0,0,0,1,0,['red_list']
thlaspi-montanum,0,0,0,1,0,['red_list']
thlaspi-perfoliatum,0,0,0,1,0,['red_list']
thlaspi-rotundifolium,0,0,0,3,1,['red_list' 'cert_list']
thlaspi-sylvium,0,0,0,1,0,['red_list']
thlaspi-virens,0,0,0,1,0,['red_list']
thymelaea-passerina,0,0,0,1,0,['red_list']
thymus-alpestris,0,0,0,1,0,['red_list']
thymus-longicaulis,0,0,0,1,0,['red_list']
thymus-oenipontanus,0,0,0,1,0,['red_list']
thymus-praecox,0,0,1,2,0,['under_sampled' 'red_list']
thymus-pulegioides,0,0,1,2,0,['under_sampled' 'red_list']
thymus-serpyllum,0,0,0,1,1,['red_list' 'cert_list']
tilia-cordata,0,0,0,1,1,['red_list' 'cert_list']
tilia-platyphyllos,0,0,0,1,1,['red_list' 'cert_list']
tofieldia-calyculata,0,0,0,1,1,['red_list' 'cert_list']
tofieldia-pusilla,0,0,0,1,0,['red_list']
tordylium-maximum,0,0,0,1,0,['red_list']
torilis-arvensis,0,0,0,1,0,['red_list']
torilis-japonica,0,0,0,1,0,['red_list']
torilis-nodosa,0,0,0,1,0,['red_list']
toxicodendron-radicans,1,0,0,0,0,['BL']
tozzia-alpina,0,0,0,1,0,['red_list']
trachycarpus-fortunei,1,0,0,0,0,['BL']
tragopogon-dubius,0,0,0,1,0,['red_list']
tragopogon-pratensis,0,0,0,4,1,['red_list' 'cert_list']
tragus-racemosus,0,0,0,1,0,['red_list']
trapa-natans,0,0,0,1,0,['red_list']
traunsteinera-globosa,0,0,0,1,1,['red_list' 'cert_list']
tribulus-terrestris,0,0,0,1,0,['red_list']
trichophorum-alpinum,0,0,0,1,0,['red_list']
trichophorum-cespitosum,0,0,0,1,1,['red_list' 'cert_list']
trichophorum-pumilum,0,0,0,1,0,['red_list']
trientalis-europaea,0,0,0,1,0,['red_list']
trifolium-alpestre,0,0,0,1,0,['red_list']
trifolium-alpinum,0,0,0,1,1,['red_list' 'cert_list']
trifolium-arvense,0,0,0,1,0,['red_list']
trifolium-aureum,0,0,0,1,0,['red_list']
trifolium-badium,0,0,0,1,1,['red_list' 'cert_list']
trifolium-campestre,0,0,0,1,0,['red_list']
trifolium-dubium,0,0,0,1,1,['red_list' 'cert_list']
trifolium-fragiferum,0,0,0,1,0,['red_list']
trifolium-medium,0,0,0,1,1,['red_list' 'cert_list']
trifolium-montanum,0,0,0,1,1,['red_list' 'cert_list']
trifolium-ochroleucon,0,0,0,1,0,['red_list']
trifolium-pallescens,0,0,0,1,0,['red_list']
trifolium-patens,0,0,0,1,0,['red_list']
trifolium-pratense,0,0,1,3,1,['under_sampled' 'red_list' 'cert_list']
trifolium-repens,0,0,0,3,1,['red_list' 'cert_list']
trifolium-rubens,0,0,0,1,0,['red_list']
trifolium-saxatile,0,0,0,1,0,['red_list']
trifolium-scabrum,0,0,0,1,0,['red_list']
trifolium-spadiceum,0,0,0,1,0,['red_list']
trifolium-striatum,0,0,0,1,0,['red_list']
